artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
I Prevail,5qD3Qv8Wu3r5uRD0DahcZy,Bow Down,5.36e-05,0.426,242680,0.959,6.54e-06,0,0.7070000000000001,-4.95,1,0.0525,155.01,4,0.372,69
THE FEVER 333,0F4jpWXr1N0YwGIOaSaeJN,Soul'd Me Out,0.0166,0.556,165718,0.967,0.0,4,0.921,-4.433,0,0.225,135.033,4,0.351,44
SPEECHLESS,6JoXVpSpbDmXXfLcgWRYDS,Myself,0.833,0.555,141619,0.418,0.905,4,0.0458,-12.948,0,0.0376,99.981,4,0.151,39
Kim Sung Kyu,1VJ7Py2OwO7r6WyG3k8yT9,Sorry,0.0224,0.604,250351,0.5660000000000001,2.01e-06,3,0.0908,-5.492000000000001,1,0.0365,103.941,4,0.242,30
Johann Sebastian Bach,0rkCOUPpgCgqsmsYFxRmXC,"Ach, was soll ich Sünder machen, BWV 770: Partita X",0.968,0.1939999999999999,237120,0.0553,0.779,4,0.208,-20.805999999999997,0,0.0368,70.266,4,0.255,13
Iamsu!,1USCejBVxJ02qK8eRBWDmX,That's Right (feat. Show Banga),0.283,0.6659999999999999,185783,0.802,0.0,1,0.0986,-7.541,0,0.103,96.06,4,0.6829999999999999,17
Onyx,53dzLkiZPabeVgLpRi1hTs,Chasing the Devil,0.307,0.346,362594,0.913,0.0,10,0.1009999999999999,-4.713,0,0.352,168.835,4,0.657,21
Sia,2c7GlMNmF7pbohjykutmLP,"Thunderclouds (with Sia, Diplo & Labrinth)",0.0085,0.691,187027,0.716,9.06e-06,7,0.263,-5.985,1,0.0351,112.035,4,0.507,81
G Herbo,47fdlM6ugvckoma8RTA1wC,Honestly (feat. Juice WRLD),0.0145,0.541,214345,0.888,0.0,0,0.203,-3.1039999999999996,0,0.0662,138.043,4,0.604,59
Alvaro Diaz,4vP7QaKbFGTZ8dguyNTmR6,Mala,0.0127,0.768,184080,0.659,0.0,7,0.1009999999999999,-4.246,1,0.0363,128.045,4,0.4629999999999999,36
Voz De Mando,58FcDpi2Xr6dsaocikKvny,Caldito de Aguila,0.353,0.847,153144,0.8859999999999999,0.0,7,0.125,-3.585,0,0.0535,157.398,4,0.969,25
90sFlav,1X3TaGYYFskN1Lpi7ERf76,Wish You Still Felt This Way,0.0991,0.7709999999999999,146553,0.307,0.778,7,0.0984,-14.322,1,0.042,147.607,4,0.4589999999999999,51
Martin Garrix,0wUxh6XMc698xPCfgBaPRV,Dreamer,0.0507,0.532,193399,0.639,0.00131,5,0.106,-7.419,0,0.0388,105.0,4,0.198,71
